run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,4345,5787,5795,3892,3873,1007,2945,0.4,0,213,205,0,0,0,0,31,31,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,74,147,104,333,166,520,153,489,13,31,0,0,0,0,0,0,0,0,4652,4997,5723,6075,4242,4391,1043,3126,0.4,0,232,217,0,0,0,0,30,33,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,72,126,93,366,370,1031,352,977,18,54,0,0,0,0,0,0,0,0,5093,6119,5844,6775,4525,5342,1292,3581,0.4,0,246,312,0,0,0,0,24,39,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,83,126,117,493,531,1618,504,1539,27,79,3729,3769,2874,0,4624,39,0,60,4875,3930,5288,4418,2802,3768,717,2492,0.4,0,169,231,0,0,0,0,18,44,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,59,139,55,280,686,1998,656,1893,30,105,459,742,377,0,824,32,0,67,5590,5308,5626,5442,3322,4809,683,3329,0.4,0,198,255,0,0,0,0,15,47,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,17,238,85,326,793,2611,748,2490,45,121,580,1158,510,0,1228,28,0,71,6328,6857,6002,6633,3824,5794,795,4122,0.4,0,243,307,0,0,0,0,14,49,38,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,26,76,119,545,827,2925,782,2774,45,151,3236,1663,1306,0,3593,26,0,73,4871,7844,4625,7518,3015,6360,648,4715,0.4,0,190,382,0,0,0,0,6,56,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,32,242,78,547,769,3187,740,3012,29,175,1201,2056,446,0,2811,13,0,86,4619,8590,4406,8295,2795,6660,746,4484,0.4,0,153,355,0,0,0,0,4,58,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,64,332,58,433,661,3317,637,3117,24,200,1358,2587,322,0,3623,9,0,90,4017,8968,3828,8638,2327,6888,646,4879,0.4,0,145,374,0,0,0,0,2,60,38,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
213,54,55,77,747,638,3762,611,3555,27,207,1825,2558,157,0,4226,5,0,95,2780,9777,2641,9377,1652,7064,347,4975,0.4,0,110,429,0,0,0,0,1,62,37,./data/twoIsl_chickPred/small/two_isl_chickpred40_adult0.csv
