run,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation-data
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4325,0,5795,0,4023,0,2471,0.2,0,0,205,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,96,0,319,0,397,0,374,0,23,0,0,0,0,0,0,0,0,1,4827,1,5974,1,4443,1,2744,0.2,0,0,198,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,219,0,222,0,922,0,874,0,48,0,0,0,0,0,0,0,0,1,5854,1,6564,1,5324,1,3181,0.2,0,0,306,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,155,0,376,0,1404,0,1358,0,46,0,3736,0,0,3736,0,0,100,1,3510,1,4017,1,2768,1,1535,0.2,0,0,190,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,32,0,229,2,1659,2,1577,0,82,1,612,0,0,613,0,0,100,2,4673,2,4836,2,3881,0,2695,0.2,0,0,194,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,155,0,297,0,1978,0,1876,0,102,0,1054,0,0,1054,0,0,100,2,5717,2,5445,2,4975,2,3478,0.2,0,0,272,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,91,0,493,1,2421,1,2311,0,110,0,1467,0,0,1467,0,0,100,3,6355,3,6046,2,5608,1,3879,0.2,0,0,309,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,322,0,341,1,2736,1,2585,0,151,2,1713,0,0,1715,0,0,100,2,7012,2,6664,2,5991,2,3529,0.2,0,0,348,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,133,1,467,0,2666,0,2548,0,118,0,1961,0,0,1961,0,0,100,2,7312,2,6972,0,6211,0,4660,0.2,0,0,340,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,308,0,418,2,3084,2,2914,0,170,1,2047,103,0,1945,6,0,93,119,7845,114,7535,14,6539,5,4391,0.2,0,2,313,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,431,0,257,1,3539,1,3371,0,168,1,2334,0,0,2335,0,0,100,114,8675,108,8372,13,6863,5,4746,0.2,0,1,308,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,154,1,628,2,3565,2,3412,0,153,0,2309,0,0,2309,0,0,100,110,9554,104,9177,14,7130,5,5352,0.2,0,0,383,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,212,0,714,5,3952,5,3762,0,190,101,2556,0,0,2657,0,0,100,8,10502,8,10127,4,7324,1,5065,0.2,0,0,375,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,367,0,481,3,4277,3,4083,0,194,1,3075,0,0,3076,0,0,100,10,11229,9,10793,5,7347,5,4869,0.2,0,1,436,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,223,1,581,4,4444,4,4214,0,230,2,3107,0,0,3109,0,0,100,11,12035,10,11663,4,7353,2,4543,0.2,0,1,372,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,229,0,560,4,4541,4,4303,0,238,4,3478,0,0,3482,0,0,100,10,12632,9,12206,7,7352,4,4422,0.2,0,1,426,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,257,0,463,2,4234,2,4006,0,228,2,3728,0,0,3730,0,0,100,9,12619,8,12230,3,7353,3,4520,0.2,0,1,389,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,339,1,434,3,4106,3,3916,0,190,3,3975,0,0,3978,0,0,100,8,12293,6,11947,4,7353,2,4806,0.2,0,2,346,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,403,0,393,1,4199,1,4003,0,196,3,4075,0,0,4078,0,0,100,4,11990,4,11586,2,7349,0,4197,0.2,0,0,404,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,168,0,538,1,3900,1,3713,0,187,2,3747,0,0,3749,0,0,100,3,11648,3,11275,1,7348,0,4829,0.2,0,0,373,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,122,0,644,1,4027,1,3822,0,205,1,3705,0,0,3706,0,0,100,3,11495,3,11099,1,7352,0,4504,0.2,0,0,396,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,241,0,512,1,4104,1,3898,0,206,1,3706,0,0,3707,0,0,100,3,11397,3,11012,3,7348,2,4735,0.2,0,0,385,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,163,0,612,2,4180,2,3990,0,190,1,3442,0,0,3443,0,0,100,4,11672,4,11321,1,7352,1,4984,0.2,0,0,351,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,518,0,346,0,4285,0,4065,0,220,1,3545,0,0,3546,0,0,100,3,11970,2,11587,1,7353,0,3930,0.2,0,1,383,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,328,0,378,1,3997,1,3776,0,221,0,3615,0,0,3615,0,0,100,3,11873,3,11455,1,7342,0,5624,0.2,0,0,418,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,217,0,696,1,4030,1,3837,0,193,2,3721,0,0,3723,0,0,100,2,11681,2,11307,1,7351,0,5201,0.2,0,0,374,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,291,0,560,0,4289,0,4105,0,184,0,3775,0,0,3775,0,0,100,2,11734,2,11357,2,7352,1,4801,0.2,0,0,377,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,93,0,670,1,4301,1,4081,0,220,1,3547,0,0,3548,0,0,100,2,12014,2,11656,2,7352,0,5141,0.2,0,0,358,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,124,0,719,0,4661,0,4416,0,245,1,3577,0,0,3578,0,0,100,1,12622,1,12241,1,7353,0,4872,0.2,0,0,381,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,180,0,667,0,4674,0,4436,0,238,0,3817,0,0,3817,0,0,100,1,12996,1,12641,0,7353,0,4760,0.2,0,0,355,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,76,0,669,0,4365,0,4151,0,214,1,3845,238,0,3608,6,0,93,252,12962,240,12589,45,7353,26,4302,0.2,0,5,380,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,2,177,3,533,4,4200,4,3996,0,204,0,4166,0,0,4166,0,0,100,244,12544,237,12164,60,7353,30,5127,0.2,0,2,385,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,2,513,4,333,7,4160,7,3956,0,204,0,4167,0,0,4167,0,0,100,244,12063,229,11679,64,7351,39,4457,0.2,0,3,396,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,378,3,353,15,4028,14,3850,1,178,218,3821,0,0,4039,0,0,100,25,11793,23,11373,10,7350,3,4747,0.2,0,2,420,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,298,0,471,18,4139,17,3939,1,200,4,3713,0,0,3717,0,0,100,36,11709,36,11301,24,7351,9,5251,0.2,0,0,408,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,190,2,672,19,3931,18,3709,1,222,7,3675,0,0,3682,0,0,100,47,11446,44,11057,28,7345,16,4741,0.2,0,3,389,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,1,179,0,605,20,4316,18,4094,2,222,11,3567,0,0,3578,0,0,100,51,11725,49,11329,34,7347,14,4381,0.2,0,2,396,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,0,67,0,671,17,4365,17,4139,0,226,16,3616,0,0,3632,0,0,100,50,11981,50,11610,33,7353,14,4403,0.2,0,0,371,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
70,2,337,1,395,9,4347,7,4135,2,212,16,3432,0,0,3448,0,0,100,41,12430,39,11983,29,7351,13,5522,0.2,0,2,447,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
