temp_period_start,temp_period_end,soi_year,soi_index,detrended_temp,temperature,source
1909,1910,1909,0.85,0.620974903,12.39,NIWA 7 Station
1910,1911,1910,0.98,0.68075079,12.46,NIWA 7 Station
1911,1912,1911,-1.07,0.160526676,11.95,NIWA 7 Station
1912,1913,1912,-0.41,-0.469697438,11.33,NIWA 7 Station
1913,1914,1913,-0.46,-0.239921551,11.57,NIWA 7 Station
1914,1915,1914,-1.29,-0.240145665,11.58,NIWA 7 Station
1915,1916,1915,0.32,0.109630221,11.94,NIWA 7 Station
1916,1917,1916,1.35,1.149406107,12.99,NIWA 7 Station
1917,1918,1917,1.89,0.949181994,12.8,NIWA 7 Station
1918,1919,1918,-0.73,-0.05104212,11.81,NIWA 7 Station
1919,1920,1919,-0.55,-0.481266234,11.39,NIWA 7 Station
1920,1921,1920,0.46,-0.341490347,11.54,NIWA 7 Station
1921,1922,1921,0.53,-0.031714461,11.86,NIWA 7 Station
1922,1923,1922,0.57,0.108061425,12.01,NIWA 7 Station
1923,1924,1923,-0.51,-0.062162689,11.85,NIWA 7 Station
1924,1925,1924,0.88,0.887613198,12.81,NIWA 7 Station
1925,1926,1925,-0.85,-0.342610916,11.59,NIWA 7 Station
1926,1927,1926,0.3,-0.16283503,11.78,NIWA 7 Station
1927,1928,1927,0.24,-0.333059144,11.62,NIWA 7 Station
1928,1929,1928,0.54,0.736716743,12.7,NIWA 7 Station
1929,1930,1929,0.41,-0.023507371,11.95,NIWA 7 Station
1930,1931,1930,0.06,-0.733731485,11.25,NIWA 7 Station
1931,1932,1931,0.18,-0.543955598,11.45,NIWA 7 Station
1932,1933,1932,-0.23,-0.404179712,11.6,NIWA 7 Station
1933,1934,1933,0.23,0.045596174,12.06,NIWA 7 Station
1934,1935,1934,0.1,0.24537206,12.27,NIWA 7 Station
1935,1936,1935,0.33,0.435147947,12.47,NIWA 7 Station
1936,1937,1936,-0.01,-0.165076167,11.88,NIWA 7 Station
1937,1938,1937,0.25,-0.385300281,11.67,NIWA 7 Station
1938,1939,1938,1.09,0.784475605,12.85,NIWA 7 Station
1939,1940,1939,-0.57,-0.145748508,11.93,NIWA 7 Station
1940,1941,1940,-1.46,-0.345972622,11.74,NIWA 7 Station
1941,1942,1941,-0.99,-0.366196736,11.73,NIWA 7 Station
1942,1943,1942,0.65,-0.076420849,12.03,NIWA 7 Station
1943,1944,1943,0.08,-0.356644963,11.76,NIWA 7 Station
1944,1945,1944,0.02,-0.346869077,11.78,NIWA 7 Station
1945,1946,1945,0.17,-0.607093191,11.53,NIWA 7 Station
1946,1947,1946,-0.59,-0.347317304,11.8,NIWA 7 Station
1947,1948,1947,0.36,-0.097541418,12.06,NIWA 7 Station
1948,1949,1948,-0.11,0.122234468,12.29,NIWA 7 Station
1949,1950,1949,0.45,-0.167989645,12.01,NIWA 7 Station
1950,1951,1950,1.15,-0.068213759,12.12,NIWA 7 Station
1951,1952,1951,-0.33,-0.398437873,11.8,NIWA 7 Station
1952,1953,1952,-0.38,-0.088661987,12.12,NIWA 7 Station
1953,1954,1953,-0.2,-0.1588861,12.06,NIWA 7 Station
1954,1955,1954,0.5,0.360889786,12.59,NIWA 7 Station
1955,1956,1955,1.38,0.540665672,12.78,NIWA 7 Station
1956,1957,1956,0.51,0.670441558,12.92,NIWA 7 Station
1957,1958,1957,-0.55,0.200217445,12.46,NIWA 7 Station
1958,1959,1958,-0.09,0.119993331,12.39,NIWA 7 Station
1959,1960,1959,0.21,-0.130230783,12.15,NIWA 7 Station
1960,1961,1960,0.2,-0.020454896,12.27,NIWA 7 Station
1961,1962,1961,0.44,-0.02067901,12.28,NIWA 7 Station
1962,1963,1962,0.5,0.599096876,12.91,NIWA 7 Station
1963,1964,1963,-0.25,-0.361127238,11.96,NIWA 7 Station
1964,1965,1964,0.38,-0.311351351,12.02,NIWA 7 Station
1965,1966,1965,-1.08,-0.461575465,11.88,NIWA 7 Station
1966,1967,1966,0.21,-0.201799579,12.15,NIWA 7 Station
1967,1968,1967,0.28,-0.092023693,12.27,NIWA 7 Station
1968,1969,1968,-0.12,-0.162247806,12.21,NIWA 7 Station
1969,1970,1969,-0.4,-0.20247192,12.18,NIWA 7 Station
1970,1971,1970,1.12,0.477303966,12.87,NIWA 7 Station
1971,1972,1971,0.47,0.697079853,13.1,NIWA 7 Station
1972,1973,1972,-0.76,-0.173144261,12.24,NIWA 7 Station
1973,1974,1973,1.5,0.266631625,12.69,NIWA 7 Station
1974,1975,1974,0.6,0.306407511,12.74,NIWA 7 Station
1975,1976,1975,1.43,0.166183398,12.61,NIWA 7 Station
1976,1977,1976,-0.43,-0.724040716,11.73,NIWA 7 Station
1977,1978,1977,-0.92,-0.69426483,11.77,NIWA 7 Station
1978,1979,1978,0.05,0.345511057,12.82,NIWA 7 Station
1979,1980,1979,-0.31,0.065286943,12.55,NIWA 7 Station
1980,1981,1980,-0.23,-0.244937171,12.25,NIWA 7 Station
1981,1982,1981,0.34,0.354838715,12.86,NIWA 7 Station
1982,1983,1982,-2.08,-0.405385398,12.11,NIWA 7 Station
1983,1984,1983,0.06,-0.495609512,12.03,NIWA 7 Station
1984,1985,1984,0.12,0.144166374,12.68,NIWA 7 Station
1985,1986,1985,-0.1,0.30394226,12.85,NIWA 7 Station
1986,1987,1986,-0.79,0.093718147,12.65,NIWA 7 Station
1987,1988,1987,-0.56,0.203494033,12.77,NIWA 7 Station
1988,1989,1988,1.26,0.353269919,12.93,NIWA 7 Station
1989,1990,1989,0.06,0.383045806,12.97,NIWA 7 Station
