run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362,4333,5509,5724,3951,3927,1991,1870,0.2,0,491,276,0.05,0,2132,2106,28,28,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,3,26,187,309,128,328,319,317,301,11,18,0,0,0,0,0,0,0,0,4508,4708,5239,5515,3964,4184,1264,1921,0.2,0,597,520,0.05,0,359,403,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,0,81,46,108,278,529,609,496,579,33,30,0,0,0,0,0,0,0,0,4730,5104,5254,5567,4188,4391,1116,2377,0.2,0,494,550,0.05,0,49,98,26,30,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,1,27,107,167,301,723,1034,677,986,46,48,3009,3226,2326,0,3909,37,0,62,4604,2704,4084,2971,2994,2671,0,376,0.2,0,1028,546,0.05,0,52,52,32,23,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,1,0,7,0,49,732,1070,699,1017,33,53,349,448,0,275,522,0,34,65,4119,3487,4063,3568,2805,3348,853,1610,0.2,0,352,321,0.05,0,0,0,21,35,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,4,27,118,118,140,910,1337,861,1276,49,61,472,639,0,484,627,0,44,55,4475,4731,3889,4182,3431,4226,821,1271,0.2,0,527,608,0.05,0,55,0,19,36,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,51,91,86,124,705,1446,674,1376,31,70,2009,963,461,0,2511,30,0,69,3038,4641,2585,4007,2570,3971,0,601,0.2,0,455,632,0.05,0,17,39,12,44,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,0,31,0,64,553,1085,521,1035,32,50,661,1113,343,0,1431,21,0,78,2792,3965,2628,3798,2135,3592,1034,1897,0.2,0,148,183,0.05,0,0,73,10,46,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,45,118,134,200,458,1036,434,1000,24,36,864,1602,374,0,2092,18,0,81,2572,3227,2333,3075,1638,3086,536,2151,0.2,0,221,170,0.05,0,0,0,7,48,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
144,2,23,62,62,323,556,1304,530,1244,26,60,858,1116,212,0,1762,13,0,86,2221,3252,2012,3155,1330,3071,376,1627,0.2,0,194,112,0.05,0,0,0,4,51,44,./data/twoIsl_chickPred/small/two_isl_chickpred20_adult5.csv
