run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig_src_ct_isl_1,emig_src_ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3322,3343,4711,4826,2926,2928,275,1898,0.5,0,289,174,0.05,0,3527,3634,31,31,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,2,14,8,20,285,53,337,49,319,4,18,0,0,0,0,0,0,0,0,3392,3809,4442,4960,2975,3324,319,2079,0.5,0,329,189,0.05,0,2323,2130,26,36,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,0,19,140,36,219,84,645,81,602,3,43,0,0,0,0,0,0,0,0,3491,4587,4218,5325,3013,4032,304,2018,0.5,0,319,253,0.05,0,1277,1604,18,44,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,1,7,125,48,184,148,955,143,914,5,41,0,0,0,0,0,0,0,0,3673,5582,3182,4654,3263,5080,0,478,0.5,0,1186,1605,0.05,0,1179,1635,13,49,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,1,0,29,0,46,156,1118,149,1060,7,58,0,0,0,0,0,0,0,0,2979,5405,2806,4922,2628,4924,0,2100,0.5,0,531,825,0.05,0,779,1791,8,54,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,1,0,163,0,173,154,1451,146,1382,8,69,0,0,0,0,0,0,0,0,2963,6342,2422,5457,2638,5826,0,2313,0.5,0,541,885,0.05,0,954,2223,5,57,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,3,0,106,0,283,133,1511,125,1444,8,67,1151,1449,307,0,2293,11,0,88,1709,5498,1353,4696,1437,5024,0,1870,0.5,0,356,802,0.05,0,663,2195,1,61,38,data/local_sensitivity_analysis/lsa_two_isl.csv
2,3,0,75,0,236,59,1589,57,1520,2,69,100,270,8,0,362,2,0,97,1318,5986,1073,5127,1129,5536,0,2117,0.5,0,245,859,0.05,0,449,2455,1,62,38,data/local_sensitivity_analysis/lsa_two_isl.csv
2,1,0,111,0,225,7,1713,6,1628,1,85,107,342,9,0,440,2,0,97,982,6460,777,5511,865,6037,0,2340,0.5,0,205,949,0.05,0,425,3026,0,62,37,data/local_sensitivity_analysis/lsa_two_isl.csv
2,4,0,95,0,309,0,1807,0,1705,0,102,109,377,0,0,486,0,0,100,668,6899,558,5866,557,6442,0,2378,0.5,0,110,1033,0.05,0,263,3409,0,62,38,data/local_sensitivity_analysis/lsa_two_isl.csv
