"BehaviorSpace results (NetLogo 6.2.0)"
"collapse_behav_space.nlogo"
"chick_predation"
"12/08/2021 10:27:51:668 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","prospect?","isl-att-curve","juvenile-mortality","collapse?","prop-returning-breeders","sex-ratio","capture-data?","diffusion-prop","adult-mortality-sd","emig-out-prob","verbose?","raft-half-way","emigration-timer","age-first-return","behav-output-path","old-mortality","output-file-name","emigration-curve","juvenile-mortality-sd","emigration-max-attempts","natural-chick-mortality","update-colour?","female-philopatry","chick-mortality-sd","nhb-rad","adult-mortality","enso?","initialisation-data","max-tries","max-age","enso-adult-mort","debug?","profiler?","age-at-first-breeding","enso-breed-impact","[step]"
"6","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"5","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"4","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"3","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"1","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"2","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"7","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"9","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"10","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"11","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"8","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"12","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"14","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"13","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"18","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"15","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"17","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"16","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"19","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"20","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"22","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"21","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"24","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"23","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"25","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"26","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"28","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"27","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"30","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
"29","false","beta2","0.65","true","0.95","1","true","0.42","0.2","0.8","false","500","6","4","./output/chick_predation/","0.8","./output/test.csv","0.5","0.2","1","0.35","false","0.95","0.2","4","0.05","true","./data/twoIsl_chickPred/small/two_isl_chickpred00_adult0.csv","6","28","[0.1 0.05 0 0.05 0.1]","false","false","6","[0.5 0.2 0 0.2 0.5]","200"
