run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3315,3347,4709,4831,2629,2707,738,2004,0.5,0,291,169,0.05,0,3483,3400,30,33,37,./data/consistency_two_isl.csv
84,2,45,38,94,286,116,329,113,311,3,18,0,0,0,0,0,0,0,0,3490,3815,4219,4631,2806,3107,279,2027,0.5,0,613,518,0.05,0,2429,2144,27,36,37,./data/consistency_two_isl.csv
84,0,21,136,32,229,180,670,168,643,12,27,0,0,0,0,0,0,0,0,3408,4321,4081,5076,2727,3345,786,2501,0.5,0,318,212,0.05,0,1116,1505,22,41,37,./data/consistency_two_isl.csv
84,2,22,110,110,302,292,1079,278,1014,14,65,0,0,0,0,0,0,0,0,3686,5479,3266,4637,3029,4373,0,1403,0.5,0,1115,1481,0.05,0,1006,1586,16,47,37,./data/consistency_two_isl.csv
84,2,0,136,0,106,289,1303,271,1237,18,66,0,0,0,0,0,0,0,0,3197,5579,3267,5657,2586,4646,913,4224,0.5,0,283,253,0.05,0,689,1532,9,53,38,./data/consistency_two_isl.csv
84,2,38,231,120,435,464,2105,440,2001,24,104,0,0,0,0,0,0,0,0,3719,7722,3391,7396,3026,6623,982,5436,0.5,0,328,326,0.05,0,1309,2539,5,57,37,./data/consistency_two_isl.csv
84,2,25,478,128,429,532,2633,509,2509,23,124,1304,1746,354,0,2696,11,0,88,2960,8233,2677,7890,2173,7246,671,5096,0.5,0,275,351,0.05,0,873,3272,2,61,37,./data/consistency_two_isl.csv
84,2,58,109,49,744,636,3195,598,3027,38,168,182,323,24,0,481,5,0,94,3122,10705,2830,10235,2338,9521,759,8400,0.5,0,279,483,0.05,0,928,4185,1,62,37,./data/consistency_two_isl.csv
84,2,48,402,75,967,519,4282,486,4061,33,221,229,598,14,0,813,2,0,97,3104,13867,2831,13321,2423,10458,724,9360,0.5,0,263,556,0.05,0,1043,5268,1,62,37,./data/consistency_two_isl.csv
84,2,40,485,64,1035,653,5541,613,5243,40,298,258,783,17,0,1024,2,0,97,3207,17982,2943,17473,2437,10564,661,8913,0.5,0,255,518,0.05,0,916,4985,1,62,37,./data/consistency_two_isl.csv
84,4,11,200,107,1252,677,6477,651,6139,26,338,354,1225,47,0,1532,2,0,97,3291,22640,3001,22068,2573,10940,860,7467,0.5,0,283,579,0.05,0,1102,5544,1,62,38,./data/consistency_two_isl.csv
84,2,70,672,92,558,609,7095,578,6750,31,345,455,1857,59,0,2253,2,0,97,3185,27196,2143,23866,2407,10937,0,3938,0.5,0,977,3395,0.05,0,1320,5493,1,62,37,./data/consistency_two_isl.csv
84,2,0,341,0,298,561,6423,540,6100,21,323,397,1523,38,0,1882,2,0,97,2328,28658,2126,28097,1797,10984,456,8508,0.5,0,198,565,0.05,0,914,5301,0,62,37,./data/consistency_two_isl.csv
84,2,57,451,27,935,533,6849,508,6528,25,321,258,1885,0,0,2143,0,0,100,2376,32946,2162,32345,1830,11240,628,8224,0.5,0,211,604,0.05,0,1030,5446,0,62,37,./data/consistency_two_isl.csv
84,2,48,808,58,596,465,6558,440,6217,25,341,203,2999,0,0,3202,0,0,100,2399,35786,2163,35198,1921,11490,628,8719,0.5,0,232,592,0.05,0,753,5801,0,62,37,./data/consistency_two_isl.csv
