run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4342,0,5792,0,3947,0,2637,0,0,0,208,0,0,2305,2263,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,162,0,289,0,469,0,435,0,34,0,0,0,0,0,0,0,0,1,4882,1,5649,1,4337,0,1889,0,0,0,583,0,0,424,682,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,50,0,265,0,744,0,704,0,40,0,0,0,0,0,0,0,0,1,5365,1,6043,0,4475,0,3052,0,0,0,331,0,0,160,79,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,0,0,56,0,484,0,1266,0,1202,0,64,0,0,0,0,0,0,0,0,6,6563,6,6873,2,4588,1,2505,0,0,0,377,0,0,78,77,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,0,108,0,309,0,1688,0,1598,0,90,0,0,0,0,0,0,0,0,6,8187,6,8155,3,4543,0,808,0,0,0,371,0,0,0,60,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,52,0,80,0,1759,0,1675,0,84,0,0,0,0,0,0,0,0,6,9878,6,9371,4,4495,2,2151,0,0,0,507,0,0,20,47,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,4,0,67,0,314,1,1892,1,1804,0,88,0,2697,0,0,2697,0,0,100,7,8529,7,8265,4,4446,4,2258,0,0,0,264,0,0,17,23,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,94,0,282,1,1786,1,1687,0,99,0,0,0,0,0,0,0,0,8,10012,7,9411,5,4423,1,685,0,0,1,601,0,0,22,21,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,45,0,71,2,1457,2,1396,0,61,0,1139,0,0,1139,0,0,100,9,9704,8,9428,6,4401,5,2698,0,0,1,276,0,0,39,38,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,192,2,304,3,1553,3,1493,0,60,4,1209,0,0,1213,0,0,100,7,9750,7,9495,1,4366,1,2715,0,0,0,255,0,0,44,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,174,0,244,2,1837,2,1730,0,107,0,1627,0,0,1627,0,0,100,9,9662,9,9475,3,4338,3,3719,0,0,0,187,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,1,337,0,283,3,2047,3,1935,0,112,0,1714,0,0,1714,0,0,100,12,9761,11,9533,5,4350,3,3078,0,0,1,228,0,0,0,38,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,4,0,173,0,373,1,2236,1,2131,0,105,1,1503,0,0,1504,0,0,100,11,10217,8,9691,6,4315,3,2478,0,0,3,526,0,0,18,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,0,190,0,220,4,2461,4,2333,0,128,0,1436,0,0,1436,0,0,100,12,10653,10,10138,8,4311,0,697,0,0,2,515,0,0,34,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,41,0,109,1,2280,1,2149,0,131,1,1146,0,0,1147,0,0,100,10,11212,10,10741,5,4311,4,2169,0,0,0,471,0,0,0,20,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,0,0,151,0,241,0,2218,0,2124,0,94,3,1212,0,0,1215,0,0,100,7,11711,7,11190,4,4292,2,2178,0,0,0,521,0,0,0,18,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,131,0,271,6,2070,6,1974,0,96,1,1364,0,0,1365,0,0,100,12,11856,12,10887,10,4275,1,647,0,0,0,969,0,0,18,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,44,0,64,1,1552,1,1476,0,76,1,1413,0,0,1414,0,0,100,12,10994,9,10382,6,4276,0,1581,0,0,3,612,0,0,0,18,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,62,0,191,1,1445,1,1382,0,63,0,1513,0,0,1513,0,0,100,10,10285,7,9769,2,4257,0,1944,0,0,3,516,0,0,21,17,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,0,124,0,213,0,1365,0,1300,0,65,1,1707,0,0,1708,0,0,100,6,9401,6,8967,3,4236,2,1931,0,0,0,434,0,0,0,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,158,0,179,2,1578,2,1501,0,77,1,1629,0,0,1630,0,0,100,7,8883,6,8347,5,4224,2,1869,0,0,1,536,0,0,0,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,151,0,155,2,1422,2,1347,0,75,0,1545,0,0,1545,0,0,100,8,8188,8,7658,3,4194,1,1638,0,0,0,530,0,0,0,12,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,0,117,0,164,2,1498,1,1424,1,74,3,1423,0,0,1426,0,0,100,6,7703,6,7404,3,4186,1,1774,0,0,0,299,0,0,0,18,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,1,0,99,0,161,0,1623,0,1552,0,71,1,1079,0,0,1080,0,0,100,5,7920,5,7335,2,4171,2,2066,0,0,0,585,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,107,0,243,0,1622,0,1533,0,89,0,1028,0,0,1028,0,0,100,5,7889,5,7504,0,4165,0,1338,0,0,0,385,0,0,0,0,6,6,89,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,0,0,70,0,158,2,1643,2,1555,0,88,0,958,68,0,890,6,0,93,78,8103,73,7888,17,4172,10,2933,0,0,3,217,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,1,133,1,389,4,1803,4,1704,0,99,2,1109,0,0,1111,0,0,100,75,8534,63,7760,18,4173,4,794,0,0,4,782,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,3,0,40,2,99,3,1553,2,1484,1,69,1,927,0,0,928,0,0,100,64,8359,62,8087,17,4174,8,2629,0,0,1,273,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,250,1,238,3,1668,3,1575,0,93,0,1065,0,0,1065,0,0,100,65,8646,59,8355,19,4172,6,1636,0,0,1,296,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,142,0,154,3,1608,3,1522,0,86,0,1195,0,0,1195,0,0,100,62,8728,59,8516,17,4176,12,3523,0,0,0,215,0,0,25,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
6,2,0,260,1,339,9,2006,9,1901,0,105,0,1215,0,0,1215,0,0,100,68,9259,67,9045,24,4177,17,3175,0,0,0,215,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv
