run,enso_state,juv_live_ct_isl_1,juv_live_ct_isl_2,juv_dead_ct_isl_1,juv_dead_ct_isl_2,new_adult_ct_isl_1,new_adult_ct_isl_2,philo_suc_ct_isl_1,philo_suc_ct_isl_2,philo_fail_ct_isl_1,philo_fail_ct_isl_2,emig-src-ct_isl_1,emig-src-ct_isl_2,emig_ct_isl_1,emig_ct_isl_2,emig_ct_leave_system,emig_att_isl_1,emig_att_isl_2,emig_att_leave_system,male_ct_isl_1,male_ct_isl_2,settled_ct_isl_1,settled_ct_isl_2,mating_ct_isl_1,mating_ct_isl_2,breed_suc_ct_isl_1,breed_suc_ct_isl_2,chick_pred_isl_1,chick_pred_isl_2,adult_mort_ct_isl_1,adult_mort_ct_isl_2,adult_pred_isl_1,adult_pred_isl_2,isl_collapse_ct_isl_1,isl_collapse_ct_isl_2,isl_att_isl_1,isl_att_isl_2,isl_att_leave_system,initialisation_data
77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314,0,5802,0,3847,0,2328,0.2,0,0,198,0,0,2105,2226,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,117,0,264,0,382,0,360,0,22,0,0,0,0,0,0,0,0,2,4827,2,6004,2,4270,1,2536,0.2,0,0,159,0,0,541,328,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,149,0,278,0,838,0,787,0,51,0,0,0,0,0,0,0,0,2,5847,2,6531,1,4807,0,2640,0.2,0,0,287,0,0,53,78,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,157,0,293,0,1254,0,1193,0,61,0,0,0,0,0,0,0,0,2,7111,2,7490,0,4856,0,4118,0.2,0,0,270,0,0,57,24,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,0,0,322,0,358,0,1950,0,1858,0,92,0,0,0,0,0,0,0,0,5,9006,5,9114,1,4845,0,3647,0.2,0,0,240,0,0,69,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,1,0,149,0,455,0,2508,0,2372,0,136,0,0,0,0,0,0,0,0,5,11572,5,11008,4,4863,0,643,0.2,0,0,564,0,0,29,17,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,37,0,65,1,2398,1,2300,0,98,0,3091,0,0,3091,0,0,100,6,10273,6,9589,3,4847,1,1778,0.2,0,0,684,0,0,65,24,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,49,0,236,0,2298,0,2195,0,103,2,502,0,0,504,0,0,100,4,11346,4,11116,1,4825,1,3203,0.2,0,0,230,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,156,0,382,0,2435,0,2309,0,126,0,870,0,0,870,0,0,100,4,12627,4,12438,0,4827,0,3545,0.2,0,0,189,0,0,0,17,6,6,89,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,275,0,319,0,2455,0,2349,0,106,0,1324,89,0,1235,6,0,93,102,13468,99,13243,29,4811,10,3046,0.2,0,2,226,0,0,16,33,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,0,0,180,1,305,4,2139,4,2035,0,104,3,1837,0,0,1840,0,0,100,100,13503,94,13215,31,4778,7,2980,0.2,0,1,293,0,0,0,37,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,91,0,397,3,2470,2,2347,1,123,0,2370,0,0,2370,0,0,100,96,13264,73,12546,31,4738,0,557,0.2,0,17,724,0,0,0,16,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,42,0,62,5,2251,5,2125,0,126,0,1862,0,0,1862,0,0,100,78,12882,75,12527,26,4723,10,3075,0.2,0,1,357,0,0,0,34,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,1,147,1,391,3,2377,3,2262,0,115,0,1892,0,0,1892,0,0,100,78,12962,74,12673,29,4690,10,3237,0.2,0,2,291,0,0,14,14,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,4,0,201,4,298,7,2478,7,2374,0,104,0,2025,0,0,2025,0,0,100,81,13084,76,12866,27,4674,10,3458,0.2,0,3,220,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,242,1,343,8,2317,7,2196,1,121,59,2029,0,0,2088,0,0,100,24,13090,21,12546,17,4669,0,432,0.2,0,3,544,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,17,0,52,1,1900,1,1799,0,101,2,1749,0,0,1751,0,0,100,20,12652,19,12309,11,4674,4,3194,0.2,0,1,343,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,4,1,147,0,384,5,2288,5,2189,0,99,1,2002,0,0,2003,0,0,100,23,12550,20,12269,15,4673,7,2843,0.2,0,3,281,0,0,29,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,1,167,1,313,10,2327,9,2207,1,120,3,1858,0,0,1861,0,0,100,26,12682,20,11891,13,4672,0,866,0.2,0,6,791,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,25,0,112,2,2044,2,1946,0,98,1,1860,0,0,1861,0,0,100,21,12037,21,11779,16,4674,4,2840,0.2,0,0,258,0,0,0,13,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,2,0,175,1,329,1,1950,1,1869,0,81,4,1976,0,0,1980,0,0,100,18,11709,18,11468,11,4663,5,3121,0.2,0,0,241,0,0,12,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,0,0,205,1,327,5,2202,4,2097,1,105,4,1876,0,0,1880,0,0,100,18,11750,16,11585,9,4660,6,3306,0.2,0,2,165,0,0,0,42,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,1,0,244,2,310,1,2260,1,2137,0,123,0,1560,0,0,1560,0,0,100,17,12227,15,11429,13,4617,0,699,0.2,0,2,798,0,0,0,13,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,1,0,40,0,85,4,1931,3,1824,1,107,4,1793,0,0,1797,0,0,100,14,11515,13,11029,9,4608,1,2904,0.2,0,1,486,0,0,18,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,3,0,144,0,335,2,2162,2,2057,0,105,5,1802,0,0,1807,0,0,100,10,11344,10,10854,5,4608,0,2592,0.2,0,0,490,0,0,0,22,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
77,0,0,189,0,226,1,2282,1,2166,0,116,1,1591,0,0,1592,0,0,100,10,11491,10,10861,5,4584,1,1930,0.2,0,0,630,0,0,0,0,0,56,44,/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv
