"BehaviorSpace results (NetLogo 6.2.0)"
"collapse_behav_space.nlogo"
"recolonisation_pred"
"11/26/2021 08:59:12:658 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","prospect?","isl-att-curve","collapse?","juvenile-mortality","prop-returning-breeders","sex-ratio","capture-data?","emigrant-perc","diffusion-prop","adult-mortality-sd","emig-out-prob","verbose?","emigration-rate","raft-half-way","emigration-timer","age-first-return","old-mortality","output-file-name","emigration-curve","emigration-max-attempts","natural-chick-mortality","update-colour?","female-philopatry","chick-mortality-sd","nhb-rad","adult-mortality","initialisation-data","max-tries","max-age","debug?","profiler?","age-at-first-breeding","[step]"
"3","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"1","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"6","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"5","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"2","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"4","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"10","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"8","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"7","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"9","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"13","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"11","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"12","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"17","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"16","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"14","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"15","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"18","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"19","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"22","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"23","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"25","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"21","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"20","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"24","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"27","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"26","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"30","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"31","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"32","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"29","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"28","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_noPred_uncolonised.csv","8","28","false","false","6","300"
"33","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"34","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"35","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"36","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"37","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"38","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"39","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"40","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"41","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"42","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"43","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"44","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"45","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"46","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"47","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"48","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"49","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"50","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"51","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"52","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"54","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"53","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"55","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"56","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"57","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"58","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"59","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"60","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred10_uncolonised.csv","8","28","false","false","6","300"
"61","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"62","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"63","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"64","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"65","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"66","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"67","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"68","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"69","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"70","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"71","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"72","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"73","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"74","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"75","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"76","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"77","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"78","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"79","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
"80","false","beta2","false","0.65","0.95","1","true","0.8","0.42","0.05","0.8","false","0.8","200","3","6","0.8","./output/test.csv","0.5","3","0.35","false","0.95","0.1","4","0.05","/data/twoIsl_recolonisation/twoIsl_pred20_uncolonised.csv","8","28","false","false","6","300"
